date,open,high,low,close,volume
2020-07-27,79.615,81.98,79.59,81.98,9275
2020-07-28,81.17,81.25,79.31,79.39,2895
2020-07-29,80.4,80.53,79.935,80.01,1462
2020-07-30,79.27,80.66,78.93,80.48,6382
2020-07-31,81.27,81.36,79.52,79.61,1042
2020-08-03,81.39,83.885,81.35,83.76,17249
2020-08-04,83.92,84.24,83.25,84.22,5236
2020-08-05,84.59,85.72,84.59,85.665,4828
2020-08-06,85.905,85.93,84.64,84.825,5182
2020-08-07,84.455,84.65,81.33,82.52,5802
2020-08-10,84.585,84.87,82.99,83.44,3582
2020-08-11,82.21,83.53,81.55,81.55,6093
2020-08-12,83.04,84.22,83.035,83.87,5920
2020-08-13,86.19,86.19,85.35,85.75,2360
2020-08-14,86.05,86.05,84.375,84.61,1823
2020-08-17,85.585,87.695,85.48,87.5,11858
2020-08-18,88.71,88.71,87.81,88.61,4927
2020-08-19,88.725,90.36,88.32,89.03,13774
2020-08-20,88.66,89.845,88.56,89.61,6485
2020-08-21,90.035,90.32,89.75,89.81,11900
2020-08-24,91.61,91.61,87.965,88.4,8447
2020-08-25,87.93,89.535,87.855,89.41,5490
2020-08-26,90.11,92.07,90.11,91.53,15802
2020-08-27,90.94,91.54,89.64,91.02,2797
2020-08-28,91.55,92.69,91.55,92.35,3745
2020-08-31,92.85,95.58,92.84,95.38,18721
2020-09-01,96.24,97.205,95.52,97.155,33762
2020-09-02,98.56,98.56,93.975,97.02,19743
2020-09-03,93.62,93.62,88.88,89.79,24734
2020-09-04,89.53,89.53,81.73,87.06,23821
2020-09-08,82.82,85.92,82.675,83.04,15393
2020-09-09,85.07,86.75,84.44,86.58,7332
2020-09-10,88.1,89.27,85.2,85.95,11921
2020-09-11,86.97,87.28,83.91,85.37,17626
2020-09-14,87.04,89.13,86.82,89.11,7249
2020-09-15,90.51,92.64,90.51,91.87,7453
2020-09-16,92.21,93.19,91.445,91.68,15345
2020-09-17,89.21,89.995,88.175,89.45,6169
2020-09-18,90.11,90.13,89.03,89.9,1366
2020-09-21,88.61,90.41,87.68,90.41,2313
2020-09-22,89.36,91.74,89.36,91.74,1881
2020-09-23,90.6,91.37,87.905,87.905,2123
2020-09-24,86.175,89.255,85.405,88.055,26000
2020-09-25,88.96,90.76,88.6,90.72,5702
2020-09-28,92.46,92.57,91,91.73,3552
2020-09-29,92.135,93.35,92.135,92.78,4737
2020-09-30,93.155,93.47,91.58,92.15,11599
2020-10-01,93.25,94.48,92.95,94.48,10732
2020-10-02,92.94,93.93,92.35,92.36,14391
2020-10-05,93.83,95.92,93.83,95.88,4884
2020-10-06,95.91,97.9,94.95,95.74,5063
2020-10-07,97.64,99.8,97.64,99.47,5333
2020-10-08,101.3,101.3,100.33,100.595,10025
2020-10-09,101.61,102.93,101.51,102.84,4582
2020-10-12,104.5,104.605,102.48,102.48,6720
2020-10-13,102.69,105.19,102.25,105.09,11892
2020-10-14,105.63,106.02,103.59,103.87,7108
2020-10-15,101.49,103.05,101.17,102.9,6502
2020-10-16,104.03,104.49,102.75,102.75,9970
2020-10-19,104.02,104.345,101.95,102.23,9645
2020-10-20,102.67,102.79,100.82,100.88,11792
2020-10-21,100.33,100.65,97.79,98.06,14184
2020-10-22,99.24,99.76,96.98,98.71,11670
2020-10-23,98.08,99.06,97.45,99.06,10097
2020-10-26,98.81,99.68,95.995,97.09,20634
2020-10-27,98.28,98.755,97.72,98.59,6626
2020-10-28,96.31,96.31,94.39,94.75,7268
2020-10-29,95.21,96.43,95.14,96.15,8212
2020-10-30,95.01,95.01,90.11,90.82,18719
2020-11-02,91.58,92.44,89.4,90.77,38105
2020-11-03,91.76,93.61,91.16,93.33,9931
2020-11-04,96.74,98.25,95.67,97.62,22032
2020-11-05,99.9,100.94,99.26,100.89,21426
2020-11-06,99.65,102.51,99.65,102.14,14649
2020-11-09,105.395,105.395,97.44,97.48,173929
2020-11-10,97.11,97.11,91.83,94.75,19179
2020-11-11,96.39,98.75,96.215,98.73,23578
2020-11-12,99.08,100.31,98.43,98.79,12949
2020-11-13,99.97,100.66,98.8,99.32,7945
2020-11-16,98.26,99.99,98.26,99.36,9521
2020-11-17,100.88,101.17,99.78,101.08,7664
2020-11-18,101.66,102.3,100.58,101.13,16571
2020-11-19,102.08,103.75,102.07,103.23,13893
2020-11-20,103.82,105.45,103.31,104.92,11660
2020-11-23,106.43,108.24,105.71,107.4,32006
2020-11-24,108.7,108.7,105.92,106.18,16406
2020-11-25,106.71,108.36,106.115,108.32,4879
2020-11-27,109.85,111.79,109.195,111.47,4720
2020-11-30,113.22,113.49,109.47,112.19,15228
2020-12-01,113.69,114.06,112.4,112.75,12447
2020-12-02,110.93,112.42,109.77,112.38,9782
2020-12-03,113.07,115.5,113.07,114.23,7309
2020-12-04,115.57,117.31,114.78,117.12,24118
2020-12-07,118.79,121.92,118.41,120.67,16310
2020-12-08,120.69,122.86,120.21,122.11,15490
2020-12-09,123.54,125.44,118.82,119.97,54219
2020-12-10,118.14,125.29,118.14,125.18,37302
2020-12-11,124.94,125.76,121.81,123.9,37681
2020-12-14,125.49,127.64,124.25,124.25,37613
2020-12-15,125.68,125.73,123.405,124.32,19242
2020-12-16,124.62,125.07,122.85,123.93,12421
2020-12-17,125.22,126.37,124.91,126.02,12264
2020-12-18,127.42,128.015,126.53,127.28,9292
2020-12-21,126.46,132.91,126.33,131.44,73486
2020-12-22,133.6,135.71,132.78,135,40884
2020-12-23,137.01,137.01,132.95,135.27,27201
2020-12-24,135.58,136.02,132.77,133,19216
2020-12-28,135.52,135.84,129.73,129.79,54811
2020-12-29,128.38,128.42,120.855,124.36,136351
2020-12-30,125.905,127.54,125.755,127.07,113810
2020-12-31,127.58,127.64,123.975,124.53,89193
2021-01-04,126.18,127.17,122.51,124.7,72278
2021-01-05,124.53,127.8,124.39,127.8,53155
2021-01-06,126.52,131.14,126.22,128.25,68807
2021-01-07,131.15,138.6,131.15,138.345,76977
