date,open,high,low,close,volume
2020-07-27,1.01,1.025,0.9888,1.004,79164
2020-07-28,1.004,1.009,0.9825,0.9863,123888
2020-07-29,0.9963,1.041,0.9813,1.016,139088
2020-07-30,0.9975,1.053,0.9938,1.024,62632
2020-07-31,1.036,1.038,0.9988,1.006,115028
2020-08-03,1.006,1.061,1.005,1.039,256176
2020-08-04,1.054,1.181,1.054,1.109,347324
2020-08-05,1.12,1.168,1.066,1.156,97808
2020-08-06,1.156,1.159,1.098,1.111,49144
2020-08-07,1.093,1.093,1.02,1.041,270920
2020-08-10,1.053,1.138,1.048,1.085,218640
2020-08-11,1.12,1.138,1.086,1.086,133328
2020-08-12,1.108,1.155,1.095,1.129,100348
2020-08-13,1.131,1.175,1.128,1.161,50624
2020-08-14,1.153,1.205,1.146,1.185,365836
2020-08-17,1.163,1.17,1.141,1.161,111568
2020-08-18,1.145,1.211,1.113,1.201,125880
2020-08-19,1.184,1.206,1.166,1.181,96752
2020-08-20,1.158,1.168,1.13,1.154,100788
2020-08-21,1.171,1.39,1.168,1.259,292804
2020-08-24,1.275,1.275,1.143,1.219,321304
2020-08-25,1.223,1.31,1.223,1.246,198944
2020-08-26,1.236,1.304,1.236,1.279,106696
2020-08-27,1.335,1.338,1.258,1.314,113408
2020-08-28,1.31,1.389,1.309,1.349,191072
2020-08-31,1.44,1.783,1.435,1.671,1906040
2020-09-01,1.82,1.954,1.7,1.915,1154632
2020-09-02,1.953,2.005,1.801,1.926,815152
2020-09-03,1.966,2.11,1.814,1.951,503068
2020-09-04,1.974,1.974,1.798,1.906,261500
2020-09-08,1.881,2.063,1.881,1.925,669624
2020-09-09,1.993,1.998,1.83,1.833,944152
2020-09-10,1.655,1.714,1.55,1.555,1339696
2020-09-11,1.56,1.578,1.475,1.524,550544
2020-09-14,1.743,1.748,1.61,1.746,355720
2020-09-15,1.715,1.81,1.671,1.771,412052
2020-09-16,1.779,2.253,1.766,2.159,527028
2020-09-17,2.13,2.436,2.13,2.3,1003236
2020-09-18,2.303,2.434,2.233,2.364,889884
2020-09-21,2.345,2.395,2.098,2.184,404944
2020-09-22,2.61,2.783,2.475,2.636,1217736
2020-09-23,2.648,2.708,2.481,2.508,603636
2020-09-24,2.418,2.448,2.256,2.274,428180
2020-09-25,2.301,2.543,2.294,2.501,488096
2020-09-28,2.563,2.563,2.391,2.521,501040
2020-09-29,2.535,2.661,2.515,2.586,358736
2020-09-30,2.58,2.675,2.526,2.551,258188
2020-10-01,2.54,2.558,2.424,2.439,415096
2020-10-02,2.35,2.445,2.328,2.349,332116
2020-10-05,2.37,2.383,2.314,2.365,199840
2020-10-06,2.39,2.456,2.278,2.286,332796
2020-10-07,2.315,2.389,2.296,2.341,248004
2020-10-08,2.348,3.41,2.304,3.374,5945696
2020-10-09,3.214,3.7,2.99,3.008,5884524
2020-10-12,2.918,3.185,2.85,2.946,1436988
2020-10-13,2.915,3.1,2.913,2.973,844724
2020-10-14,3.165,3.165,3.018,3.055,844688
2020-10-15,3,3.77,3,3.455,3365624
2020-10-16,3.438,3.468,3.273,3.32,1073732
2020-10-19,3.37,3.623,3.35,3.474,996544
2020-10-20,3.505,3.53,3.42,3.461,444544
2020-10-21,3.46,3.598,3.453,3.525,616184
2020-10-22,3.548,3.963,3.548,3.726,1133920
2020-10-23,3.785,3.84,3.649,3.755,564280
2020-10-26,3.72,3.863,3.316,3.375,946452
2020-10-27,3.365,3.375,3.093,3.17,932664
2020-10-28,3.088,3.26,2.948,2.948,690304
2020-10-29,2.978,3.06,2.925,2.935,416512
2020-10-30,2.86,2.875,2.59,2.616,986332
2020-11-02,2.711,2.76,2.625,2.689,582524
2020-11-03,2.69,2.965,2.668,2.888,415572
