date,open,high,low,close,volume
2020-07-27,11.82,11.82,11.72,11.73,16580
2020-07-28,11.62,11.86,11.62,11.86,23850
2020-07-29,12.33,12.7,11.99,12.28,204570
2020-07-30,12.16,12.28,12.13,12.21,39370
2020-07-31,12.11,12.37,12.04,12.34,49420
2020-08-03,12.39,12.39,12.34,12.35,12430
2020-08-04,12.29,12.33,12.18,12.2,12450
2020-08-05,12.34,12.41,12.34,12.41,7320
2020-08-06,12.35,12.35,12.34,12.34,3150
2020-08-07,12.27,12.33,12.27,12.33,9270
2020-08-10,12.27,12.42,12.27,12.33,6440
2020-08-11,14.19,14.48,13.53,13.53,101640
2020-08-12,13.55,14.04,13.55,13.72,150790
2020-08-13,13.9,13.9,13.72,13.72,33160
2020-08-14,13.84,14.66,13.84,14.66,74680
2020-08-17,14.84,15.14,14.22,14.37,66330
2020-08-18,14.5,14.58,14.2,14.32,42710
2020-08-19,14.18,14.31,13.99,14.17,29590
2020-08-20,14.3,14.49,14.27,14.41,38160
2020-08-21,14.47,14.54,14.47,14.5,7960
2020-08-24,14.77,14.92,14.77,14.86,22530
2020-08-25,14.9,15,14.66,14.74,56590
2020-08-26,14.72,14.75,14.63,14.63,24860
2020-08-27,14.65,14.7,14.53,14.68,12200
2020-08-28,14.8,14.89,14.8,14.89,11830
2020-08-31,14.67,14.68,14.45,14.56,15800
2020-09-01,14.52,14.91,14.52,14.85,40470
2020-09-02,14.78,15.08,14.78,15.08,19160
2020-09-03,14.7,14.7,14.4,14.46,16600
2020-09-04,14.34,14.34,13.94,14.25,14100
2020-09-08,13.9,14.08,13.9,14.01,8680
2020-09-09,14.06,14.2,14.06,14.19,16050
2020-09-10,14.31,14.31,13.98,13.98,18700
2020-09-11,14.07,14.11,13.92,14.09,22610
2020-09-14,14.13,14.28,14.06,14.26,15150
2020-09-15,14.64,15.6,14.41,15.6,72160
2020-09-16,15.78,17.66,15.78,17.47,159500
2020-09-17,16.82,16.92,16.26,16.32,54450
2020-09-18,16.42,16.52,15.8,15.96,52800
2020-09-21,15.29,15.33,15.07,15.2,25730
2020-09-22,15,15.41,15,15.41,19880
2020-09-23,15.32,15.32,14.82,14.82,19910
2020-09-24,14.59,14.79,14.52,14.6,86810
2020-09-25,14.61,14.65,14.55,14.6,23970
2020-09-28,15.13,15.22,15.12,15.15,56740
2020-09-29,14.92,15,14.83,15,22200
2020-09-30,15.04,15.3,15.01,15.08,42650
2020-10-01,15.04,15.27,14.87,14.89,70440
2020-10-02,14.69,14.97,14.57,14.68,55140
2020-10-05,14.78,14.91,14.69,14.84,42600
2020-10-06,15.19,15.36,15,15.04,26920
2020-10-07,15.17,15.34,15.14,15.28,40670
2020-10-08,15.58,16.46,15.58,16.38,177240
2020-10-09,16.5,16.55,16.1,16.44,82100
2020-10-12,16.8,16.8,16.43,16.65,114250
2020-10-13,16.6,16.64,16.4,16.64,38740
2020-10-14,16.75,16.76,16.34,16.46,40230
2020-10-15,16.34,16.67,16.23,16.61,57010
2020-10-16,16.61,16.62,16.48,16.48,27340
2020-10-19,16.6,16.69,16.37,16.41,102670
2020-10-20,16.48,17.15,16.41,16.88,117950
2020-10-21,17.49,18.58,17.49,18.12,217310
2020-10-22,18.52,18.52,17.8,18.31,167860
2020-10-23,18.27,18.48,18.17,18.48,61910
2020-10-26,18.49,18.5,17.28,17.5,111960
2020-10-27,17.31,17.88,17.31,17.54,103540
2020-10-28,18.23,18.23,16.17,16.26,406940
2020-10-29,16.4,16.62,16.17,16.22,154500
2020-10-30,16.2,16.7,15.98,16.7,106160
2020-11-02,16.34,16.69,16.3,16.65,73060
2020-11-03,16.82,17.24,16.82,17.2,18020
2020-11-04,17.26,17.8,17.16,17.27,36860
2020-11-05,17.87,18.32,17.87,18.16,51300
2020-11-06,18.15,18.59,17.93,18.56,127900
2020-11-09,18.43,18.7,18.24,18.5,275110
2020-11-10,18.5,18.96,18.43,18.6,60190
2020-11-11,18.85,19.32,18.85,19.15,64870
2020-11-12,19.3,19.6,18.6,18.69,82840
2020-11-13,18.84,19.39,18.67,19.25,83400
2020-11-16,19.54,20.37,19.54,20.37,84210
2020-11-17,20.3,20.83,20.1,20.82,66170
2020-11-18,22.27,22.47,21.33,21.33,183370
2020-11-19,20.95,21.75,20.95,21.64,60390
