date,open,high,low,close,volume
2020-07-27,81.61,82.98,81.61,82.97,33638
2020-07-28,81.73,81.75,80.7,80.7,31896
2020-07-29,81.58,83.06,81.4,82.78,60584
2020-07-30,82.11,83.68,82,83.65,28400
2020-07-31,83.29,83.45,81.95,83.13,39602
2020-08-03,83.69,84.65,83.6,84.57,58892
2020-08-04,84.78,85.83,84.78,85.81,37754
2020-08-05,85.71,86.35,85.47,85.97,22566
2020-08-06,85.4,85.86,85.03,85.76,16326
2020-08-07,85.57,85.99,83.93,84.8,34278
2020-08-10,85.02,85.18,83.72,84.82,26618
2020-08-11,84.44,85.14,83.48,83.54,29318
2020-08-12,84.39,86.47,84.36,86.28,118718
2020-08-13,86,86.24,85.19,85.37,52900
2020-08-14,85.85,86.39,85.18,85.39,38840
2020-08-17,86.32,87.05,86.2,86.62,26356
2020-08-18,86.98,87.1,86.05,86.08,15508
2020-08-19,86.16,86.19,85.33,85.54,30138
2020-08-20,84.27,85.11,84.2,84.78,43144
2020-08-21,84.71,85.47,84.69,85.46,45990
2020-08-24,86.44,86.55,85.66,86.23,23792
2020-08-25,86.48,87.21,86.48,87.21,29672
2020-08-26,87.5,87.96,87.22,87.76,24890
2020-08-27,87.38,87.38,85.96,86.39,88082
2020-08-28,86.75,87.89,86.44,87.89,40474
2020-08-31,87.53,88.28,87.25,87.89,16348
2020-09-01,88.24,89.43,88.24,89.43,33354
2020-09-02,90.71,92.27,90.17,91.84,75404
2020-09-03,90.02,90.12,86.23,86.82,147630
2020-09-04,86.79,87.27,82.84,85.72,98744
2020-09-08,82.44,84.24,81.8,81.8,100954
2020-09-09,83.83,84.8,83.12,84.32,42636
2020-09-10,85.33,85.63,82.77,83.18,44674
2020-09-11,83.66,84.42,82.37,83.06,50110
2020-09-14,85.05,85.43,84.51,84.98,32578
2020-09-15,86.09,87.23,86.09,86.76,58562
2020-09-16,87.22,87.26,85.53,85.6,16652
2020-09-17,83.18,85.53,83.18,85.26,57656
2020-09-18,85.76,85.76,83.29,84.12,41206
2020-09-21,82.77,84.07,82.15,84.06,51282
2020-09-22,84.3,84.98,83.41,84.94,22976
2020-09-23,84.89,85.06,82.63,82.84,28104
2020-09-24,82.65,84.69,82.65,83.62,20962
2020-09-25,83.36,84.72,82.53,84.66,19850
2020-09-28,85.73,86.83,85.38,86.75,36268
2020-09-29,87.33,87.75,87.07,87.27,73370
2020-09-30,86.94,88.05,86.89,87.3,34186
2020-10-01,88.82,89.52,88.53,89.3,72950
2020-10-02,86.99,88.4,86.63,86.63,108240
2020-10-05,87.4,89.48,87.4,89.48,55714
2020-10-06,89.5,90.77,88.47,88.75,80852
2020-10-07,90.34,90.78,90.13,90.75,31172
2020-10-08,91.52,91.78,91.23,91.78,30560
2020-10-09,93.46,93.48,92.74,93.36,70388
2020-10-12,94.23,95.29,94.23,94.91,92760
2020-10-13,95.11,95.47,94.4,94.73,42320
2020-10-14,94.94,95.22,93.65,94.16,57646
2020-10-15,92.8,93.92,92.64,93.73,34432
2020-10-16,94.11,94.22,93.18,93.2,61186
2020-10-19,94.18,94.4,92.48,92.74,65182
2020-10-20,93.2,93.59,92.58,92.91,100732
2020-10-21,92.78,93.33,92.25,92.3,45998
2020-10-22,92.46,92.57,91.19,92.19,71476
2020-10-23,91.79,92.01,91.17,91.92,40914
2020-10-26,91.6,91.6,88.98,90.03,115018
2020-10-27,90.75,90.96,89.43,89.71,44532
2020-10-28,88.14,88.19,86.67,86.85,177252
2020-10-29,86.75,89.72,86.75,89.02,69956
2020-10-30,88.11,88.24,86.58,87.46,113392
2020-11-02,88.49,88.9,87.33,88.02,107760
2020-11-03,89.1,90.63,89.09,90.1,119566
