date,open,high,low,close,volume
2020-11-30,10.69,10.69,10.69,10.69,416
2020-12-01,10.6,10.6,10.555,10.6,5332
2020-12-02,10.57,10.615,10.43,10.585,4562
2020-12-03,10.49,10.51,10.42,10.42,2462
2020-12-04,10.42,10.54,10.4,10.4,17315
2020-12-07,10.645,10.72,10.505,10.57,20524
2020-12-08,10.8,10.97,10.755,10.87,160667
2020-12-09,11.18,11.18,10.83,10.99,43582
2020-12-10,11.1,11.1,10.76,10.79,7206
2020-12-11,11.04,11.2,10.83,10.905,27908
2020-12-14,11.2,11.345,10.97,11.05,43015
2020-12-15,11.17,11.19,10.845,11.06,73208
2020-12-16,11.03,11.035,10.85,10.995,27414
2020-12-17,10.95,11.01,10.95,11.005,13373
2020-12-18,11.045,11.39,11.005,11.18,33605
2020-12-21,11.3,11.445,11.14,11.37,57735
2020-12-22,12.11,12.11,11.46,11.6,28362
2020-12-23,12.16,12.16,11.75,12.015,44822
2020-12-24,12.43,12.43,12.1,12.26,27495
2020-12-28,12.94,13.035,12.5,12.595,122042
2020-12-29,12.6,12.71,12.07,12.28,35877
2020-12-30,12.01,12.52,12,12.395,10378
2020-12-31,12.18,12.475,12.18,12.35,8723
2021-01-04,12.38,12.5,11.82,12.185,53551
2021-01-05,12.145,12.26,12.095,12.095,31780
2021-01-06,12.1,12.115,11.9,12.11,29429
2021-01-07,12.08,21.425,12.06,19.19,1084942
2021-01-08,21.48,21.99,17.905,18.705,675446
2021-01-11,19.33,19.73,18.68,18.97,210258
2021-01-12,19.06,19.16,18.255,18.41,197030
2021-01-13,18.79,19.58,18.54,19,501062
2021-01-14,19.39,19.42,18.96,19.125,250916
2021-01-15,19.32,21.02,19.16,20.09,396092
2021-01-19,21.68,24.19,21.105,22.51,815307
2021-01-20,23.75,24.61,22.13,22.15,303900
2021-01-21,22.96,22.965,21.52,22.37,141438
2021-01-22,21.82,22.95,21.21,21.635,236924
2021-01-25,22.2,22.58,20,20.47,107579
2021-01-26,20.73,21.29,19.5,19.57,246928
2021-01-27,18.97,19.24,17.91,18.14,660437
2021-01-28,20.37,20.79,19.11,20.26,336428
2021-01-29,23.24,26.92,21.875,24.98,731223
2021-02-01,25.925,28.26,25.26,25.35,278573
2021-02-02,25.925,26.045,24,24.36,154291
2021-02-03,24.79,25.69,24.54,24.695,216698
2021-02-04,23.94,25.09,23.7,25.01,229827
2021-02-05,24.27,24.515,22.92,23.12,326972
2021-02-08,23.69,24.365,22.84,23.01,182078
2021-02-09,23,23.99,22.77,23.075,205820
2021-02-10,23.57,23.72,22.285,22.805,141922
2021-02-11,22.81,23.945,22.335,23.03,80557
2021-02-12,23.07,24.38,22.87,23.7,74530
