date,open,high,low,close,volume
2020-07-27,18.69,18.85,18.5,18.77,743562
2020-07-28,18.67,18.84,18.41,18.44,575916
2020-07-29,18.5,18.84,18.39,18.84,414934
2020-07-30,18.4,18.43,17.96,18.11,735154
2020-07-31,17.81,18.04,17.65,18.04,516012
2020-08-03,17.98,18.18,17.9,18.09,748340
2020-08-04,18.01,18.56,18.01,18.5,780368
2020-08-05,18.9,18.94,18.56,18.71,669474
2020-08-06,18.54,18.78,18.5,18.56,438474
2020-08-07,18.34,18.63,18.2,18.58,308608
2020-08-10,18.71,19.17,18.7,19.17,972590
2020-08-11,19.64,19.77,19.02,19.09,516918
2020-08-12,19.42,19.51,19.09,19.29,418812
2020-08-13,19.13,19.29,18.88,18.91,304616
2020-08-14,18.76,19.12,18.7,19.1,422496
2020-08-17,19.08,19.08,18.89,18.99,555080
2020-08-18,18.92,19.09,18.69,18.73,558822
2020-08-19,18.62,18.81,18.48,18.53,565256
2020-08-20,18.27,18.37,18.14,18.14,694398
2020-08-21,18.05,18.09,17.85,18.01,1126924
2020-08-24,18.14,18.64,18.02,18.5,854472
2020-08-25,18.6,18.63,18.17,18.25,476534
2020-08-26,18.21,18.21,17.85,17.86,1013720
2020-08-27,17.9,18,17.68,17.91,762650
2020-08-28,18.01,18.27,17.88,18.24,423470
2020-08-31,18.26,18.26,17.83,17.83,616496
2020-09-01,17.7,17.78,17.49,17.7,529486
2020-09-02,17.64,17.8,17.52,17.63,574574
2020-09-03,17.58,17.94,17.4,17.51,1087912
2020-09-04,17.65,17.79,17.23,17.44,570522
2020-09-08,17.11,17.18,16.61,16.8,1486742
2020-09-09,16.97,17.08,16.86,16.9,665444
2020-09-10,16.97,16.99,16.29,16.3,1207432
2020-09-11,16.27,16.42,16.18,16.31,586486
2020-09-14,16.34,16.59,16.25,16.45,612122
2020-09-15,16.5,16.69,16.27,16.32,731212
2020-09-16,16.43,17.18,16.33,16.95,1239762
2020-09-17,16.67,17,16.55,17,911140
2020-09-18,16.88,16.99,16.64,16.82,732666
2020-09-21,16.06,16.16,15.72,15.98,1859906
2020-09-22,15.99,16.25,15.79,15.82,433690
2020-09-23,15.83,15.93,15.09,15.09,716104
2020-09-24,14.98,15.36,14.78,15.11,1078666
2020-09-25,14.89,15.2,14.86,15.09,752530
2020-09-28,15.4,15.61,15.35,15.44,677218
2020-09-29,15.4,15.4,14.88,15.03,541278
2020-09-30,15.14,15.28,14.91,14.99,758914
2020-10-01,14.75,14.87,14.43,14.52,516210
2020-10-02,14.12,14.77,14.12,14.66,1058526
2020-10-05,14.82,15.09,14.76,15.09,791622
2020-10-06,15.31,15.4,14.84,14.86,1039110
2020-10-07,14.91,15.12,14.79,15.08,1050588
2020-10-08,15.19,15.65,15.15,15.64,1392956
2020-10-09,15.79,15.82,15.38,15.39,572318
2020-10-12,15.33,15.49,15.19,15.43,278776
2020-10-13,15.36,15.52,15.15,15.2,663106
2020-10-14,15.23,15.62,15.21,15.25,976342
2020-10-15,14.98,15.45,14.87,15.44,1292452
2020-10-16,15.37,15.39,15.07,15.09,672974
2020-10-19,15.14,15.2,14.77,14.77,1944336
2020-10-20,14.87,15.07,14.76,14.96,499654
2020-10-21,14.78,14.93,14.68,14.68,857782
2020-10-22,14.65,15.29,14.6,15.26,814244
2020-10-23,15.37,15.43,15.01,15.19,505492
2020-10-26,14.93,14.96,14.51,14.65,934196
2020-10-27,14.58,14.62,14.43,14.46,388222
2020-10-28,14.09,14.19,13.78,13.85,741938
2020-10-29,13.66,14.32,13.5,14.28,1284196
2020-10-30,14.2,14.37,14.02,14.36,1673844
2020-11-02,14.56,15.05,14.31,14.84,1009736
2020-11-03,15.1,15.1,14.64,14.76,735974
2020-11-04,14.67,15.14,14.41,14.78,1179654
2020-11-05,14.79,15.07,14.77,14.77,763992
2020-11-06,14.78,15,14.41,14.46,1628556
2020-11-09,16.2,16.89,16.17,16.53,2917884
2020-11-10,16.86,17.04,16.5,17.04,3179626
2020-11-11,17.25,17.25,16.73,16.9,2463472
2020-11-12,16.58,16.83,16.17,16.33,1261904
2020-11-13,16.48,17.02,16.47,16.95,1676210
2020-11-16,17.72,18.09,17.45,18.07,1021504
2020-11-17,17.78,18.25,17.6,18.24,905554
2020-11-18,18.36,18.46,17.71,17.71,1024236
2020-11-19,17.49,18.04,17.42,18,1056072
2020-11-20,17.96,18.01,17.78,17.9,398898
2020-11-23,18.21,19.19,18.21,19.17,1204718
2020-11-24,19.8,20.21,19.65,20.16,1416638
2020-11-25,19.87,19.92,19.58,19.68,817586
2020-11-27,19.58,19.73,19.31,19.43,420490
2020-11-30,19.2,19.26,18.35,18.39,1171818
2020-12-01,18.93,18.98,18.44,18.48,956408
2020-12-02,18.36,19.36,18.36,19.06,1358040
2020-12-03,19.15,19.5,18.96,19.27,994224
2020-12-04,19.63,20.32,19.63,20.32,2361504
2020-12-07,20.04,20.12,19.65,19.84,875366
2020-12-08,19.61,20.33,19.61,20.14,978444
2020-12-09,20.36,20.66,19.95,20.21,1824292
2020-12-10,20.22,21.04,20.22,20.81,1478706
2020-12-11,20.59,20.66,20.28,20.56,739200
2020-12-14,20.81,20.87,19.77,19.84,1454238
2020-12-15,19.95,20.33,19.77,20.22,1214524
