,2018_Volmageddon,2019_LowVolGrindUp,2020H1_COVID_Crash,2020H2_Recovery,2021_MemeMania,2022_BearMarket,2023_SVB_AI_Rally,2024_LowVolGrindUp,2025_Trump2,2026H1,total
Vol Bull,-4.0,11.5,-0.5,5.5,4.0,1.0,8.5,1.0,4.5,11.5,43.0
EMA Death,5.0,1.0,1.5,0.5,0.5,13.5,1.0,-1.0,-1.0,-2.5,18.5
ORB Dn,1.5,-1.0,1.0,1.5,3.5,1.5,0.0,0.0,4.0,1.0,13.0
VWAP Bounce Up,0.5,-7.5,0.5,2.5,12.5,-3.0,-6.5,5.0,13.5,-4.5,13.0
EMA Gold,1.0,7.5,-7.0,3.0,4.5,4.0,-5.5,0.5,5.5,-1.0,12.5
VWAP Fade Dn,2.0,0.0,-0.5,-2.0,-0.5,0.0,-2.0,2.0,4.0,1.0,4.0
RSI Bear,-1.5,-2.0,0.0,0.0,0.0,-0.5,-2.0,0.0,0.5,1.5,-4.0
RSI Bull,-3.0,4.5,-5.0,-2.0,0.0,-0.5,0.0,1.0,0.0,-0.5,-5.5
BB Dn,-3.0,0.5,-3.0,0.5,1.0,-3.5,-2.5,-1.0,1.5,-1.0,-10.5
Vol Bear,-5.0,5.0,-2.5,-3.5,-5.0,7.5,-11.5,-6.5,8.0,2.5,-11.0
BB Up,-1.5,4.0,-4.0,1.0,-2.0,-2.0,-1.0,-8.0,-1.0,1.0,-13.5
ORB Up,-5.0,-6.5,-1.5,4.0,-11.0,-8.5,11.5,-8.0,0.5,5.5,-19.0
PDH Retest,-4.0,7.0,3.5,-2.5,-12.5,4.0,-13.0,-15.5,-4.5,-9.5,-47.0
