fire_time,setup,direction,entry,stop,target,outcome,close_time,bars_held,vix_at_fire,vix_bin,regime,r_multiple
2018-02-05 18:00:00+00:00,ORB Dn,PUT,272.16,273.4099355206989,270.2850967189517,WIN,2018-02-05 19:30:00+00:00,6.0,37.31999969482422,crisis,bear_crisis,1.5
2018-02-05 20:00:00+00:00,Vol Bear,PUT,266.93,268.91804650999404,263.9479302350089,LOSS,2018-02-05 20:15:00+00:00,1.0,37.31999969482422,crisis,bear_crisis,-1.0
2018-02-05 20:45:00+00:00,Vol Bear,PUT,264.18,266.7104712764056,260.3842930853916,WIN,2018-02-06 14:30:00+00:00,1.0,37.31999969482422,crisis,bear_crisis,1.5
2018-02-07 20:45:00+00:00,ORB Dn,PUT,267.66,269.6159758603884,264.7260362094175,WIN,2018-02-08 15:45:00+00:00,6.0,27.729999542236328,high,bear_high,1.5
2018-02-08 20:45:00+00:00,Vol Bear,PUT,257.72,260.250566997508,253.9241495037381,LOSS,2018-02-09 14:30:00+00:00,1.0,33.459999084472656,high,bear_high,-1.0
2018-02-14 18:00:00+00:00,VWAP Fade Dn,PUT,268.7675,270.0349796297245,266.86628055541325,LOSS,2018-02-15 14:30:00+00:00,12.0,19.260000228881836,mid,bear_mid,-1.0
2018-02-20 20:15:00+00:00,EMA Death,PUT,271.12,272.16110778515787,269.5583383222632,LOSS,2018-02-21 14:30:00+00:00,3.0,20.600000381469727,mid,bear_mid,-1.0
2018-02-21 20:45:00+00:00,EMA Death,PUT,270.0,271.34317893967466,267.985231590488,LOSS,2018-02-22 14:30:00+00:00,1.0,20.020000457763672,mid,bear_mid,-1.0
2018-03-05 17:45:00+00:00,VWAP Fade Dn,PUT,271.79,273.02110301660906,269.94334547508646,LOSS,2018-03-06 14:30:00+00:00,13.0,18.729999542236328,mid,bear_mid,-1.0
2018-03-07 17:45:00+00:00,EMA Death,PUT,271.08,272.0633129881352,269.60503051779716,LOSS,2018-03-07 19:45:00+00:00,8.0,17.760000228881836,mid,bear_mid,-1.0
2018-03-22 13:30:00+00:00,EMA Death,PUT,268.13,269.56238408203336,265.9814238769499,WIN,2018-03-22 15:30:00+00:00,8.0,23.34000015258789,mid,bear_mid,1.5
2018-03-27 15:45:00+00:00,VWAP Fade Dn,PUT,266.55,267.7907707273249,264.6888439090127,WIN,2018-03-27 17:45:00+00:00,8.0,22.5,mid,bear_mid,1.5
2018-03-27 19:30:00+00:00,EMA Death,PUT,259.45,261.1040245274593,256.9689632088111,LOSS,2018-03-28 13:30:00+00:00,2.0,22.5,mid,bear_mid,-1.0
2018-03-29 19:00:00+00:00,VWAP Fade Dn,PUT,264.9399,266.178745491309,263.0816317630366,WIN,2018-04-02 13:30:00+00:00,4.0,19.969999313354492,mid,bear_mid,1.5
2018-04-02 14:45:00+00:00,EMA Death,PUT,259.4,260.80811065034004,257.2878340244899,WIN,2018-04-02 15:30:00+00:00,3.0,23.6200008392334,mid,bear_mid,1.5
2018-04-04 13:30:00+00:00,EMA Death,PUT,257.92,259.8852680972436,254.9720978541346,LOSS,2018-04-04 15:15:00+00:00,7.0,20.059999465942383,mid,bear_mid,-1.0
2018-04-04 19:15:00+00:00,VWAP Fade Dn,PUT,263.51,264.95296632052145,261.3455505192178,LOSS,2018-04-05 13:30:00+00:00,3.0,20.059999465942383,mid,bear_mid,-1.0
2018-04-06 17:00:00+00:00,EMA Death,PUT,262.23,263.5956108381746,260.18158374273816,WIN,2018-04-06 18:00:00+00:00,4.0,21.489999771118164,mid,bear_mid,1.5
2018-04-13 19:15:00+00:00,EMA Death,PUT,264.37,265.2919971752451,262.9870042371324,LOSS,2018-04-13 19:45:00+00:00,2.0,17.40999984741211,mid,bear_mid,-1.0
2018-04-30 18:00:00+00:00,EMA Death,PUT,265.22,266.0226680327582,264.01599795086275,WIN,2018-05-01 13:30:00+00:00,8.0,15.930000305175781,mid,bear_mid,1.5
2018-05-02 19:30:00+00:00,EMA Death,PUT,263.275,264.0856631107963,262.0590053338055,WIN,2018-05-03 13:30:00+00:00,2.0,15.970000267028809,mid,bear_mid,1.5
2018-06-25 13:30:00+00:00,EMA Death,PUT,272.7,273.3995191561828,271.6507212657258,WIN,2018-06-25 14:00:00+00:00,2.0,17.329999923706055,mid,bear_mid,1.5
2018-06-27 17:15:00+00:00,EMA Death,PUT,271.0001,271.8732845493841,269.69032317592377,WIN,2018-06-27 19:00:00+00:00,7.0,17.90999984741211,mid,bear_mid,1.5
2018-06-29 14:45:00+00:00,VWAP Fade Dn,PUT,273.4045,274.3067662152164,272.0511006771753,WIN,2018-06-29 19:30:00+00:00,19.0,16.09000015258789,mid,bear_mid,1.5
2018-07-02 14:00:00+00:00,EMA Death,PUT,269.66,270.5916716920458,268.2624924619314,LOSS,2018-07-02 14:30:00+00:00,2.0,15.600000381469727,mid,bear_mid,-1.0
2018-07-03 17:30:00+00:00,EMA Death,PUT,270.42,271.15486543339773,269.3177018499035,LOSS,2018-07-05 13:30:00+00:00,10.0,16.139999389648438,mid,bear_mid,-1.0
2018-10-09 17:00:00+00:00,EMA Death,PUT,287.54,288.41880841978707,286.2217873703195,WIN,2018-10-10 13:30:00+00:00,12.0,15.949999809265137,mid,bear_mid,1.5
2018-10-16 17:30:00+00:00,VWAP Fade Dn,PUT,279.5227,280.4372316959248,278.1509024561127,LOSS,2018-10-16 19:30:00+00:00,8.0,17.6200008392334,mid,bull_mid,-1.0
2018-10-24 19:45:00+00:00,Vol Bear,PUT,265.22,267.01219618418787,262.53170572371823,LOSS,2018-10-25 13:30:00+00:00,1.0,25.229999542236328,high,bear_high,-1.0
2018-10-31 14:30:00+00:00,VWAP Fade Dn,PUT,272.27,274.153850442794,269.4442243358089,TIMEOUT,2018-10-31 19:30:00+00:00,20.0,21.229999542236328,mid,bear_mid,0.0
2018-11-02 13:30:00+00:00,VWAP Fade Dn,PUT,275.16,276.24173444784026,273.5373983282397,WIN,2018-11-02 14:15:00+00:00,3.0,19.510000228881836,mid,bear_mid,1.5
2018-11-02 17:30:00+00:00,EMA Death,PUT,271.16,272.44650764313326,269.2302385353002,LOSS,2018-11-02 18:15:00+00:00,3.0,19.510000228881836,mid,bear_mid,-1.0
2018-11-07 20:45:00+00:00,Vol Bull,CALL,280.92,280.12631548401373,282.1105267739795,LOSS,2018-11-08 14:30:00+00:00,1.0,16.360000610351562,mid,bull_mid,-1.0
2018-11-08 20:45:00+00:00,Vol Bull,CALL,280.44,279.5894914702098,281.7157627946853,LOSS,2018-11-09 14:30:00+00:00,1.0,16.719999313354492,mid,bull_mid,-1.0
2018-11-09 20:15:00+00:00,Vol Bull,CALL,278.27,277.2634857177105,279.77977142343417,LOSS,2018-11-12 14:30:00+00:00,3.0,17.360000610351562,mid,bull_mid,-1.0
2018-11-19 16:15:00+00:00,EMA Death,PUT,270.61,271.8803286469243,268.70450702961364,WIN,2018-11-19 17:00:00+00:00,3.0,20.100000381469727,mid,bear_mid,1.5
2018-11-26 14:45:00+00:00,VWAP Fade Dn,PUT,267.16,268.1668136072891,265.6497795890664,WIN,2018-11-26 17:30:00+00:00,11.0,18.899999618530273,mid,bear_mid,1.5
2018-11-28 17:00:00+00:00,VWAP Fade Dn,PUT,272.18,273.2506906038265,270.5739640942603,LOSS,2018-11-28 18:30:00+00:00,6.0,18.489999771118164,mid,bear_mid,-1.0
2018-12-03 20:45:00+00:00,Vol Bull,CALL,279.23,278.2128100877778,280.7557848683333,LOSS,2018-12-04 14:30:00+00:00,1.0,16.440000534057617,mid,bull_mid,-1.0
2018-12-11 18:30:00+00:00,EMA Death,PUT,263.09,264.75719382576614,260.58920926135073,LOSS,2018-12-11 19:30:00+00:00,4.0,21.760000228881836,mid,bear_mid,-1.0
2018-12-13 17:00:00+00:00,EMA Death,PUT,265.1402,266.74873876508553,262.7273918523717,WIN,2018-12-14 14:30:00+00:00,16.0,20.649999618530273,mid,bear_mid,1.5
2018-12-19 19:00:00+00:00,ORB Dn,PUT,254.69,256.4240994070526,252.0888508894211,LOSS,2018-12-19 19:15:00+00:00,1.0,25.579999923706055,high,bear_high,-1.0
2018-12-19 19:30:00+00:00,ORB Dn,PUT,253.5698,255.6810132642443,250.4029801036335,WIN,2018-12-19 20:00:00+00:00,2.0,25.579999923706055,high,bear_high,1.5
2018-12-19 20:00:00+00:00,Vol Bear,PUT,252.19,254.6226277635576,248.5410583546636,WIN,2018-12-20 16:30:00+00:00,12.0,25.579999923706055,high,bear_high,1.5
2018-12-21 20:45:00+00:00,Vol Bear,PUT,240.69,242.81564135768267,237.50153796347598,WIN,2018-12-24 14:45:00+00:00,2.0,30.110000610351562,high,bear_high,1.5
2018-12-26 15:00:00+00:00,ORB Dn,PUT,234.54,236.63450517917798,231.39824223123298,LOSS,2018-12-26 16:15:00+00:00,5.0,30.40999984741211,high,bear_high,-1.0
2018-12-28 14:45:00+00:00,RSI Bear,PUT,249.46,251.92563301842299,245.76155047236554,TIMEOUT,2018-12-28 19:45:00+00:00,20.0,28.34000015258789,high,bear_high,0.0
2018-12-28 20:15:00+00:00,ORB Dn,PUT,247.92,250.0582254718162,244.71266179227567,LOSS,2018-12-31 14:30:00+00:00,3.0,28.34000015258789,high,bear_high,-1.0
2019-01-03 15:00:00+00:00,ORB Dn,PUT,245.14,246.949642769318,242.425535846023,LOSS,2019-01-03 16:30:00+00:00,6.0,25.450000762939453,high,bear_high,-1.0
2019-01-03 20:45:00+00:00,Vol Bear,PUT,244.13,245.8639430055975,241.52908549160375,LOSS,2019-01-04 14:30:00+00:00,1.0,25.450000762939453,high,bear_high,-1.0
2019-01-07 16:30:00+00:00,VWAP Fade Dn,PUT,254.76,256.10731049220567,252.7390342616915,LOSS,2019-01-08 14:30:00+00:00,18.0,21.399999618530273,mid,bear_mid,-1.0
2019-02-12 20:45:00+00:00,Vol Bull,CALL,274.12,273.62216325985753,274.8667551102137,WIN,2019-02-13 14:30:00+00:00,1.0,15.430000305175781,mid,bull_mid,1.5
2019-02-13 14:30:00+00:00,Vol Bull,CALL,275.71,275.05808016986765,276.6878797451984,LOSS,2019-02-13 16:15:00+00:00,7.0,15.649999618530273,mid,bull_mid,-1.0
2019-02-15 14:30:00+00:00,Vol Bull,CALL,276.615,275.7075890688473,277.976116396729,TIMEOUT,2019-02-15 19:30:00+00:00,20.0,14.90999984741211,low,bull_low,0.0
2019-02-15 20:30:00+00:00,ORB Up,CALL,277.11,276.5532103591711,277.9451844612434,LOSS,2019-02-19 14:30:00+00:00,2.0,14.90999984741211,low,bull_low,-1.0
2019-02-19 20:30:00+00:00,Vol Bull,CALL,278.375,277.9630515773557,278.99292263396643,LOSS,2019-02-19 20:45:00+00:00,1.0,14.880000114440918,low,bull_low,-1.0
2019-02-20 19:30:00+00:00,ORB Up,CALL,278.28,277.5966841445542,279.30497378316863,LOSS,2019-02-21 14:30:00+00:00,6.0,14.020000457763672,low,bull_low,-1.0
2019-02-21 17:45:00+00:00,EMA Gold,CALL,278.0337,277.3555866621783,279.0508700067325,LOSS,2019-02-21 19:15:00+00:00,6.0,14.460000038146973,low,bull_low,-1.0
2019-02-21 20:45:00+00:00,Vol Bull,CALL,277.46,276.81301895412093,278.4304715688185,WIN,2019-02-22 14:45:00+00:00,2.0,14.460000038146973,low,bull_low,1.5
2019-02-22 15:15:00+00:00,EMA Gold,CALL,278.415,277.748860744186,279.4142088837211,TIMEOUT,2019-02-22 20:15:00+00:00,20.0,13.510000228881836,low,bull_low,0.0
2019-02-22 20:45:00+00:00,Vol Bull,CALL,279.15,278.5734097997877,280.0148853003183,WIN,2019-02-25 14:30:00+00:00,1.0,13.510000228881836,low,bull_low,1.5
2019-02-27 20:45:00+00:00,Vol Bull,CALL,279.23,278.69611643972337,280.030825340415,LOSS,2019-02-28 15:00:00+00:00,3.0,14.699999809265137,low,bull_low,-1.0
2019-03-01 14:30:00+00:00,EMA Gold,CALL,280.7634,280.0539460267916,281.82758095981256,LOSS,2019-03-01 15:15:00+00:00,3.0,13.569999694824219,low,bull_low,-1.0
2019-03-01 20:30:00+00:00,Vol Bull,CALL,280.71,280.1959234473344,281.4811148289984,WIN,2019-03-04 14:30:00+00:00,2.0,13.569999694824219,low,bull_low,1.5
2019-03-04 20:45:00+00:00,Vol Bull,CALL,279.41,278.54628598196354,280.7055710270548,LOSS,2019-03-05 14:45:00+00:00,2.0,14.630000114440918,low,bull_low,-1.0
2019-03-05 19:45:00+00:00,EMA Gold,CALL,279.64,279.04365736672145,280.5345139499178,LOSS,2019-03-06 14:30:00+00:00,5.0,14.739999771118164,low,bull_low,-1.0
2019-03-07 14:30:00+00:00,VWAP Bounce Up,CALL,275.88,275.09673087083246,277.05490369375127,LOSS,2019-03-07 14:45:00+00:00,1.0,16.59000015258789,mid,bull_mid,-1.0
2019-03-07 14:45:00+00:00,VWAP Bounce Up,CALL,275.29,274.438928665773,276.5666070013405,LOSS,2019-03-07 15:15:00+00:00,2.0,16.59000015258789,mid,bull_mid,-1.0
2019-03-07 15:15:00+00:00,VWAP Bounce Up,CALL,275.06,274.19407624752876,276.35888562870684,LOSS,2019-03-07 20:00:00+00:00,19.0,16.59000015258789,mid,bull_mid,-1.0
2019-03-11 14:45:00+00:00,EMA Gold,CALL,277.25,276.44146615447625,278.46280076828566,WIN,2019-03-11 19:15:00+00:00,18.0,14.329999923706055,low,bull_low,1.5
2019-03-11 19:30:00+00:00,Vol Bull,CALL,278.43,277.9154848514107,279.20177272288396,WIN,2019-03-12 13:30:00+00:00,2.0,14.329999923706055,low,bull_low,1.5
2019-03-12 17:15:00+00:00,ORB Up,CALL,279.68,279.1233629712961,280.5149555430559,LOSS,2019-03-12 19:15:00+00:00,8.0,13.770000457763672,low,bull_low,-1.0
2019-03-12 19:30:00+00:00,ORB Up,CALL,279.65,279.11973825149875,280.4453926227518,WIN,2019-03-13 13:30:00+00:00,2.0,13.770000457763672,low,bull_low,1.5
2019-03-15 15:45:00+00:00,ORB Up,CALL,281.51,280.93966579065545,282.3655013140168,LOSS,2019-03-15 19:45:00+00:00,16.0,12.880000114440918,low,bull_low,-1.0
2019-03-18 19:30:00+00:00,Vol Bull,CALL,282.35,281.8944026726516,283.03339599102264,WIN,2019-03-19 13:30:00+00:00,2.0,13.100000381469727,low,bull_low,1.5
2019-03-19 15:45:00+00:00,ORB Up,CALL,284.17,283.5629174915438,285.0806237626843,LOSS,2019-03-19 16:45:00+00:00,4.0,13.5600004196167,low,bull_low,-1.0
2019-03-20 18:00:00+00:00,ORB Up,CALL,282.71,281.9241702743427,283.88874458848585,LOSS,2019-03-20 19:30:00+00:00,6.0,13.90999984741211,low,bull_low,-1.0
2019-03-21 14:30:00+00:00,EMA Gold,CALL,282.78,281.83019050587717,284.2047142411842,WIN,2019-03-21 15:45:00+00:00,5.0,13.630000114440918,low,bull_low,1.5
2019-03-22 15:30:00+00:00,VWAP Bounce Up,CALL,280.46,279.3856653019829,282.07150204702566,LOSS,2019-03-22 16:30:00+00:00,4.0,16.479999542236328,mid,bull_mid,-1.0
2019-03-22 16:30:00+00:00,VWAP Bounce Up,CALL,279.38,278.24374679534395,281.0843798069841,WIN,2019-03-22 18:15:00+00:00,7.0,16.479999542236328,mid,bull_mid,1.5
2019-03-25 13:45:00+00:00,VWAP Bounce Up,CALL,277.99,276.79299866505,279.78550200242506,WIN,2019-03-25 15:15:00+00:00,6.0,16.329999923706055,mid,bull_mid,1.5
2019-03-26 14:45:00+00:00,EMA Gold,CALL,282.09,280.9679773709162,283.77303394362565,LOSS,2019-03-26 15:45:00+00:00,4.0,14.680000305175781,low,bull_low,-1.0
2019-03-26 19:45:00+00:00,EMA Gold,CALL,281.03,280.15120339276973,282.3481949108454,LOSS,2019-03-27 14:45:00+00:00,6.0,14.680000305175781,low,bull_low,-1.0
2019-03-28 14:00:00+00:00,ORB Up,CALL,280.89,279.9497911292482,282.3003133061277,LOSS,2019-03-28 15:00:00+00:00,4.0,14.430000305175781,low,bull_low,-1.0
2019-03-28 18:00:00+00:00,EMA Gold,CALL,280.445,279.6990423457801,281.5639364813299,WIN,2019-03-29 13:30:00+00:00,8.0,14.430000305175781,low,bull_low,1.5
